Longtitude,Latitude,Humidity%,Temp,Min_Temp,Max_Temp,Cloudness,City_Name,Country,Wind_Speed,Date
82.22,16.73,84,22.08,22.08,22.08,0,Yanam,IN,2.1,1519154556
58.79,36.21,100,5.56,5.56,5.56,64,Neyshabur,IR,1.55,1519154557
-5.72,-15.94,100,22.66,22.66,22.66,80,Jamestown,SH,6.2,1519154557
43.28,-11.38,83,27.0,27.0,27.0,20,Mitsamiouli,KM,2.1,1519149600
-133.03,69.44,90,-15.55,-15.55,-15.55,88,Tuktoyaktuk,CA,3.75,1519154558
147.33,-42.88,81,10.0,10.0,10.0,75,Hobart,AU,3.1,1519149600
18.42,-33.93,64,20.0,20.0,20.0,20,Cape Town,ZA,8.2,1519153200
168.33,-46.6,100,12.83,12.83,12.83,92,Bluff,NZ,11.9,1519154559
147.06,-42.78,81,10.0,10.0,10.0,75,New Norfolk,AU,3.1,1519149600
-11.95,8.72,29,36.28,36.28,36.28,0,Magburaka,SL,2.3,1519154560
25.57,-33.92,88,21.0,21.0,21.0,90,Port Elizabeth,ZA,2.1,1519153200
78.98,53.23,59,-14.8,-14.8,-14.8,48,Galbshtadt,RU,3.35,1519154561
72.97,3.78,100,28.21,28.21,28.21,0,Mahibadhoo,MV,6.3,1519154561
-115.79,60.82,69,-26.45,-26.45,-26.45,12,Hay River,CA,1.75,1519154561
-89.9,16.98,55,29.81,29.81,29.81,48,San Jose,GT,2.65,1519154562
149.13,-36.24,86,3.41,3.41,3.41,12,Cooma,AU,1.0,1519154563
-115.98,36.21,21,4.39,3.0,7.0,1,Pahrump,US,3.1,1519152960
-59.59,-4.39,69,30.25,30.25,30.25,68,Borba,BR,1.4,1519154563
152.44,-3.66,98,28.41,28.41,28.41,68,Namatanai,PG,4.35,1519154563
118.35,63.29,34,-30.75,-30.75,-30.75,44,Nyurba,RU,1.45,1519154564
39.71,-10.0,79,26.06,26.06,26.06,0,Lindi,TZ,2.1,1519154564
-35.21,-5.81,62,31.0,31.0,31.0,40,Natal,BR,5.7,1519149600
57.52,-20.52,88,26.0,26.0,26.0,75,Souillac,MU,2.1,1519153200
-14.42,-7.93,100,25.53,25.53,25.53,8,Georgetown,SH,7.5,1519154566
21.3,29.14,38,17.71,17.71,17.71,0,Awjilah,LY,3.3,1519154566
